银河新都,2室1厅,67.28平米,https://sh.lianjia.com/chengjiao/107101887701.html,2019.10.26,284,挂牌290万,成交周期8天,42153,高楼层(共11层),2006年建板楼,南 北 , 毛坯
都市宜家苑,2室2厅,84.88平米,https://sh.lianjia.com/chengjiao/107101684635.html,2019.10.25,328,挂牌335万,成交周期61天,38643,高楼层(共6层),2004年建板楼,南 , 精装
银河新都,2室1厅,76.54平米,https://sh.lianjia.com/chengjiao/107101805485.html,2019.10.23,326,挂牌336万,成交周期24天,42566,中楼层(共13层),2007年建板楼,南 北 , 精装
高兴花园,2室1厅,70.2平米,https://sh.lianjia.com/chengjiao/107101776971.html,2019.10.21,322,挂牌334万,成交周期31天,45869,高楼层(共6层),1997年建板楼,南 北 , 精装
春申景城湖滨晨韵,2室1厅,80.15平米,https://sh.lianjia.com/chengjiao/107101561119.html,2019.10.20,539,挂牌558万,成交周期92天,67249,高楼层(共17层),2005年建板楼,南 , 简装
春申景城湖滨晨韵,2室2厅,73.59平米,https://sh.lianjia.com/chengjiao/107101240678.html,2019.10.20,482,挂牌508万,成交周期184天,65499,高楼层(共17层),2005年建板楼,南 , 简装
绿地春申花园,2室2厅,95.97平米,https://sh.lianjia.com/chengjiao/107101712605.html,2019.10.19,560,挂牌588万,成交周期48天,58352,中楼层(共6层),2002年建板楼,南 北 , 精装
春申景城湖滨晨韵,2室1厅,73.63平米,https://sh.lianjia.com/chengjiao/107101453236.html,2019.10.16,473,挂牌488万,成交周期117天,64241,中楼层(共17层),2005年建板楼,南 , 简装
银河新都,2室1厅,76.47平米,https://sh.lianjia.com/chengjiao/107101749198.html,2019.10.14,336,挂牌346万,成交周期31天,43939,中楼层(共13层),2007年建板楼,南 北 , 毛坯
春申景城湖滨晨韵,2室2厅,98.28平米,https://sh.lianjia.com/chengjiao/107101781764.html,2019.10.14,718,挂牌737万,成交周期22天,73057,低楼层(共17层),2005年建板楼,南 , 精装
春申景城MIDTOWN,2室2厅,107.01平米,https://sh.lianjia.com/chengjiao/107101559189.html,2019.10.14,695,挂牌720万,成交周期85天,64948,低楼层(共30层),2014年建板楼,南 , 精装
莲花新村,2室1厅,66.97平米,https://sh.lianjia.com/chengjiao/107101782954.html,2019.10.11,321,挂牌334.6万,成交周期19天,47932,中楼层(共6层),1998年建板楼,南 , 精装
高兴花园,2室1厅,70.2平米,https://sh.lianjia.com/chengjiao/107101762562.html,2019.10.11,325,挂牌335万,成交周期24天,46297,中楼层(共6层),1996年建板楼,南 , 简装
春馨苑,2室1厅,61.04平米,https://sh.lianjia.com/chengjiao/107101769945.html,2019.10.08,292,挂牌292万,成交周期20天,47838,中楼层(共7层),1999年建板楼,南 , 精装
春申景城湖滨晨韵,2室2厅,84.75平米,https://sh.lianjia.com/chengjiao/107101353731.html,2019.10.06,538,挂牌558万,成交周期136天,63422,高楼层(共17层),2005年建板楼,南 , 精装
春申景城湖滨晨韵,2室2厅,98.53平米,https://sh.lianjia.com/chengjiao/107101743405.html,2019.10.06,623,挂牌638万,成交周期26天,63230,低楼层(共17层),2005年建板楼,南 , 精装
高兴花园,2室1厅,69.98平米,https://sh.lianjia.com/chengjiao/107101818854.html,2019.10.05,328,挂牌330万,成交周期2天,46871,低楼层(共6层),1996年建板楼,南 北 , 毛坯
莲花新村,2室1厅,54.95平米,https://sh.lianjia.com/chengjiao/107101803725.html,2019.10.04,285,挂牌289万,成交周期6天,51866,低楼层(共6层),1998年建板楼,南 , 精装
高兴花园,1室1厅,57.44平米,https://sh.lianjia.com/chengjiao/107101809446.html,2019.09.30,295,挂牌300万,成交周期1天,51358,中楼层(共6层),1998年建板楼,南 , 其他
蔷薇新村,3室1厅,90.65平米,https://sh.lianjia.com/chengjiao/107101478732.html,2019.09.30,275,挂牌300万,成交周期94天,30337,高楼层(共6层),1995年建板楼,南 北 , 毛坯
高兴花园,2室1厅,68.03平米,https://sh.lianjia.com/chengjiao/107101775489.html,2019.09.29,322,挂牌328万,成交周期9天,47333,中楼层(共6层),1996年建板楼,南 , 精装
高兴花园,2室1厅,59.5平米,https://sh.lianjia.com/chengjiao/107101669752.html,2019.09.26,323,挂牌325万,成交周期36天,54286,低楼层(共6层),1996年建板楼,南 , 简装
高兴花园,3室2厅,84.4平米,https://sh.lianjia.com/chengjiao/107101734693.html,2019.09.24,370,挂牌385万,成交周期16天,43839,高楼层(共6层),1996年建板楼,南 , 简装
普乐二村,2室1厅,51.8平米,https://sh.lianjia.com/chengjiao/107101611721.html,2019.09.23,218,挂牌220万,成交周期49天,42085,中楼层(共6层),1994年建板楼,南 , 精装
莲花新村,2室1厅,59.44平米,https://sh.lianjia.com/chengjiao/107101769947.html,2019.09.22,275,挂牌283万,成交周期4天,46266,中楼层(共6层),1998年建板楼,南 , 其他
上海春城,2室2厅,103.19平米,https://sh.lianjia.com/chengjiao/107101109813.html,2019.09.22,573,挂牌596万,成交周期195天,55529,中楼层(共16层),2004年建板楼,南 , 精装
普乐三村,3室1厅,77.83平米,https://sh.lianjia.com/chengjiao/107101564993.html,2019.09.22,291,挂牌299万,成交周期62天,37390,高楼层(共6层),1995年建板楼,南 , 精装
普乐三村,2室1厅,63.22平米,https://sh.lianjia.com/chengjiao/107101084270.html,2019.09.22,261,挂牌269万,成交周期202天,41285,中楼层(共6层),1995年建板楼,南 , 精装
银河新都,2室1厅,68.24平米,https://sh.lianjia.com/chengjiao/107101458429.html,2019.09.20,265,挂牌270万,成交周期90天,38834,低楼层(共11层),2007年建板楼,南 , 精装
高兴花园,2室1厅,70.02平米,https://sh.lianjia.com/chengjiao/107101675658.html,2019.09.17,321,挂牌328万,成交周期26天,45845,高楼层(共6层),1998年建板楼,南 北 , 毛坯
森安苑,2室1厅,72.9平米,https://sh.lianjia.com/chengjiao/107101741985.html,2019.09.16,287,挂牌288万,成交周期6天,39369,中楼层(共6层),2004年建板楼,南 , 精装
常兴家园,2室1厅,60.23平米,https://sh.lianjia.com/chengjiao/107101751591.html,2019.09.15,332,挂牌335万,成交周期2天,55123,低楼层(共6层),1999年建板楼,南 , 其他
银兆公寓,2室2厅,88.92平米,https://sh.lianjia.com/chengjiao/107101488423.html,2019.09.14,340,挂牌360万,成交周期76天,38237,高楼层(共6层),2007年建板楼,南 , 毛坯
普乐三村,3室1厅,78.23平米,https://sh.lianjia.com/chengjiao/107101306915.html,2019.09.13,284,挂牌293万,成交周期127天,36240,高楼层(共6层),1995年建板楼,南 , 简装
银河新都,1室1厅,53.74平米,https://sh.lianjia.com/chengjiao/107101395865.html,2019.09.13,203,挂牌209万,成交周期101天,37743,低楼层(共13层),2007年建板楼,南 , 简装
高兴花园,2室1厅,62.41平米,https://sh.lianjia.com/chengjiao/107101636506.html,2019.09.12,299,挂牌320万,成交周期31天,47909,低楼层(共6层),1996年建板楼,南 , 简装
蔷薇八村,2室1厅,77.58平米,https://sh.lianjia.com/chengjiao/107101143211.html,2019.09.11,288,挂牌298万,成交周期174天,37123,中楼层(共6层),2001年建板楼,南 , 简装
高兴花园,2室1厅,70.07平米,https://sh.lianjia.com/chengjiao/107101734632.html,2019.09.10,324,挂牌328万,成交周期2天,46169,中楼层(共6层),1996年建板楼,南 , 简装
上海春城,2室2厅,92.73平米,https://sh.lianjia.com/chengjiao/107101666567.html,2019.09.08,570,挂牌584万,成交周期19天,61469,中楼层(共9层),2002年建板楼,南 北 , 精装
春申景城湖滨晨韵,2室2厅,98.61平米,https://sh.lianjia.com/chengjiao/107101455963.html,2019.09.03,660,挂牌680万,成交周期74天,66931,中楼层(共17层),2005年建板楼,南 , 简装
虹景苑,1室1厅,54.32平米,https://sh.lianjia.com/chengjiao/107101680062.html,2019.09.03,205,挂牌214万,成交周期10天,37740,高楼层(共6层),1999年建板楼,南 , 其他
莲花新村,1室1厅,50.89平米,https://sh.lianjia.com/chengjiao/107101685058.html,2019.09.02,259,挂牌265万,成交周期7天,50895,高楼层(共6层),1998年建板楼,南 , 精装
源梦苑,2室2厅,87.08平米,https://sh.lianjia.com/chengjiao/107101036667.html,2019.08.28,340,挂牌348万,成交周期189天,39045,中楼层(共6层),2000年建板楼,南 , 精装
虹梅菁典,1室1厅,61.89平米,https://sh.lianjia.com/chengjiao/107101408745.html,2019.08.28,290,挂牌292万,成交周期81天,46858,中楼层(共6层),2011年建板楼,南 , 精装
中城绿苑,2室2厅,87.74平米,https://sh.lianjia.com/chengjiao/107101433425.html,2019.08.25,523,挂牌535万,成交周期72天,59608,高楼层(共14层),2005年建板楼,南 , 精装
上海春城,2室2厅,94.4平米,https://sh.lianjia.com/chengjiao/107101403392.html,2019.08.23,568,挂牌579万,成交周期78天,60170,低楼层(共11层),2004年建板楼,南 , 精装
虹景苑,2室1厅,59.39平米,https://sh.lianjia.com/chengjiao/107101582690.html,2019.08.23,230,挂牌236万,成交周期26天,38728,低楼层(共6层),1997年建板楼,南 , 简装
普乐三村,2室1厅,63.22平米,https://sh.lianjia.com/chengjiao/107101436719.html,2019.08.21,237,挂牌245万,成交周期66天,37489,高楼层(共6层),1995年建板楼,南 , 简装
高兴花园,2室1厅,67.14平米,https://sh.lianjia.com/chengjiao/107101647546.html,2019.08.18,330,挂牌329万,成交周期2天,49152,中楼层(共6层),1996年建板楼,南 , 其他
高兴花园,2室1厅,67.59平米,https://sh.lianjia.com/chengjiao/107101643809.html,2019.08.16,316,挂牌320万,成交周期2天,46753,低楼层(共6层),1996年建板楼,南 , 简装
虹梅菁典,2室2厅,85平米,https://sh.lianjia.com/chengjiao/107002290751.html,2019.08.15,485,挂牌498万,成交周期610天,57059,中楼层(共19层),2011年建板楼,南 , 精装
高兴花园,2室1厅,64.76平米,https://sh.lianjia.com/chengjiao/107101570996.html,2019.08.15,336,挂牌348万,成交周期22天,51884,低楼层(共6层),1996年建板楼,南 , 精装
蔷薇新村,2室1厅,75.46平米,https://sh.lianjia.com/chengjiao/107101238695.html,2019.08.14,261,挂牌264万,成交周期117天,34588,高楼层(共6层),1995年建板楼,南 , 简装
森安苑,2室1厅,73.67平米,https://sh.lianjia.com/chengjiao/107101529468.html,2019.08.14,281,挂牌285万,成交周期33天,38144,中楼层(共6层),2002年建板楼,南 , 精装
