春申府邸,2室1厅,68.58平米,https://sh.lianjia.com/chengjiao/107101719134.html,2019.11.25,343,挂牌355万,成交周期82天,49942,中楼层(共11层),2007年建板楼,南 , 简装
沁春园一村,2室1厅,63.38平米,https://sh.lianjia.com/chengjiao/107101855958.html,2019.11.25,229,挂牌320万,成交周期42天,36132,中楼层(共6层),1994年建板楼,南 , 精装
莘南花苑一村,2室1厅,64.72平米,https://sh.lianjia.com/chengjiao/107101987585.html,2019.11.24,363,挂牌365万,成交周期8天,56088,低楼层(共6层),1996年建板楼,南 , 简装
上海康城,2室2厅,104.27平米,https://sh.lianjia.com/chengjiao/107101821913.html,2019.11.24,348,挂牌360万,成交周期51天,33375,高楼层(共13层),2008年建板楼,南 , 精装
上海康城,2室2厅,108.95平米,https://sh.lianjia.com/chengjiao/107101755254.html,2019.11.24,365,挂牌380万,成交周期71天,33502,中楼层(共16层),2006年建板楼,南 , 精装
莘城苑,2室2厅,81.62平米,https://sh.lianjia.com/chengjiao/107101523903.html,2019.11.23,273,挂牌280万,成交周期136天,33411,低楼层(共6层),1997年建板楼,南 , 简装
星丰苑,1室1厅,51.23平米,https://sh.lianjia.com/chengjiao/107101972078.html,2019.11.23,205,挂牌215万,成交周期11天,40016,高楼层(共6层),1998年建板楼,南 , 简装
报春四村,3室2厅,103.08平米,https://sh.lianjia.com/chengjiao/107101632237.html,2019.11.21,379,挂牌388万,成交周期103天,36720,高楼层(共6层),1997年建板楼,南 , 精装
邻里苑,1室1厅,54.65平米,https://sh.lianjia.com/chengjiao/107101529029.html,2019.11.19,280,挂牌290万,成交周期130天,51236,中楼层(共6层),2009年建板楼,南 , 简装
新空间家园,2室2厅,94.36平米,https://sh.lianjia.com/chengjiao/107101395993.html,2019.11.18,555,挂牌572万,成交周期166天,58818,高楼层(共6层),2003年建板楼,南 , 精装
绿梅二村,2室1厅,64.29平米,https://sh.lianjia.com/chengjiao/107101974478.html,2019.11.18,274,挂牌285万,成交周期5天,42620,中楼层(共6层),1994年建板楼,南 , 精装
黎安二村,2室1厅,63.77平米,https://sh.lianjia.com/chengjiao/107101912438.html,2019.11.17,286,挂牌290万,成交周期23天,44771,低楼层(共6层),1995年建板楼,南 , 精装
星丰苑,2室1厅,67.43平米,https://sh.lianjia.com/chengjiao/107101905453.html,2019.11.17,285,挂牌300万,成交周期25天,42267,低楼层(共6层),1998年建板楼,南 , 精装
沁春园一村,2室1厅,70平米,https://sh.lianjia.com/chengjiao/107101828324.html,2019.11.17,291,挂牌295万,成交周期42天,41500,中楼层(共6层),1996年建板楼,南 , 简装
星丰苑,2室1厅,75.81平米,https://sh.lianjia.com/chengjiao/107101718991.html,2019.11.17,273,挂牌281万,成交周期74天,36012,高楼层(共6层),1998年建板楼,南 北 , 简装
莘松三村,2室1厅,52.51平米,https://sh.lianjia.com/chengjiao/107101683637.html,2019.11.17,365,挂牌368万,成交周期84天,69511,高楼层(共6层),1988年建板楼,南 , 简装
春申玫瑰苑,2室2厅,100.39平米,https://sh.lianjia.com/chengjiao/107101385046.html,2019.11.16,513,挂牌540万,成交周期168天,51101,低楼层(共12层),2006年建板楼,南 , 精装
上海康城,2室2厅,96.95平米,https://sh.lianjia.com/chengjiao/107101851870.html,2019.11.16,377,挂牌390万,成交周期34天,38887,中楼层(共15层),2005年建板楼,南 , 精装
星丰苑,2室1厅,75.81平米,https://sh.lianjia.com/chengjiao/107101960474.html,2019.11.16,305,挂牌320万,成交周期8天,40233,中楼层(共6层),1998年建板楼,南 北 , 简装
好世鹿鸣苑,1室2厅,66.71平米,https://sh.lianjia.com/chengjiao/107101546909.html,2019.11.15,458,挂牌480万,成交周期121天,68656,中楼层(共17层),2007年建板楼,南 , 精装
